d%,Oggetto,Prezzo,Fonte
01-02,Allineare Arma,4.500 mo,Manuale di Gioco
03-05,Aspetto Animale,4.500 mo,Guida al Combattimento
06,Animale Messaggero,4.500 mo,Manuale di Gioco
07,Trance Animale,4.500 mo,Manuale di Gioco
08.10,Aspetto dell'Orso,4.500 mo,Guida del Giocatore
11-13,Conferire Competenza nelle Armi,4.500 mo,Guida al Combattimento
14-15,CecitÃ /SorditÃ,4.500 mo,Manuale di Gioco
16-18,Sguardo Bruciante,4.500 mo,Guida del Giocatore
19-21,Calmare Emozioni,4.500 mo,Manuale di Gioco
22-24,Gelare il Metallo,4.500 mo,Manuale di Gioco
25,Comandare Non Morti,4.500 mo,Manuale di Gioco
26-27,Frastornare Mostri,4.500 mo,Manuale di Gioco
28-29,Rintocco di Morte,4.500 mo,Manuale di Gioco
30-32,Scossa Difensiva,4.500 mo,Guida alla Magia
33,Ritardare Dolore,4.500 mo,Guida alla Magia
34-35,Individuazione dei Pensieri,4.500 mo,Manuale di Gioco
36-39,Camuffare Altri,4.500 mo,Guida alla Magia
40-42,Armatura Passiva,4.500 mo,Guida al Combattimento
43-46,Tocco Elementale,4.500 mo,Guida del Giocatore
47-48,Estasiare,4.500 mo,Manuale di Gioco
49-50,Riposo Inviolato,4.500 mo,Manuale di Gioco
51,Tocco del Ghoul,4.500 mo,Manuale di Gioco
52.53,Planare,4.500 mo,Guida del Giocatore
54-55,Innalzamento del Suolo,4.500 mo,Guida alle Razze
56,Folata di Vento,4.500 mo,Manuale di Gioco
57,Blocca Animali,4.500 mo,Manuale di Gioco
58-59,Trama Ipnotica,4.500 mo,Manuale di Gioco
60,Localizza Oggetto,4.500 mo,Manuale di Gioco
61,Rendere Integro,4.500 mo,Manuale di Gioco
62-63,Dissimulare,4.500 mo,Manuale di Gioco
64-65,Monotonia Oppressiva,4.500 mo,Guida alla Magia
66,Protezione dalle Frecce,4.500 mo,Manuale di Gioco
67,Ridurre Animali,4.500 mo,Manuale di Gioco
68-69,Trucco della Corda,4.500 mo,Manuale di Gioco
70-72,Spaventare,4.500 mo,Manuale di Gioco
73-74,Condividere Linguaggio,4.500 mo,Guida del Giocatore
75-76,Ammorbidire Terra e Pietra,4.500 mo,Manuale di Gioco
77-78,Mano Spettrale,4.500 mo,Manuale di Gioco
79-80,Status,4.500 mo,Manuale di Gioco
81-82,Linguaggi,4.500 mo,Manuale di Gioco
83-84,Tocco di Idiozia,4.500 mo,Manuale di Gioco
85-86,Forma Arborea,4.500 mo,Manuale di Gioco
87-88,Deformare Legno,4.500 mo,Manuale di Gioco
89-91,Arma Stupefacente,4.500 mo,Guida del Giocatore
92-93,Scolpire Legno,4.500 mo,Manuale di Gioco
94-95,Zona di VeritÃ,4.500 mo,Manuale di Gioco
96,Serratura Arcana,4.500 mo,Manuale di Gioco
97,Consacrare,4.500 mo,Manuale di Gioco
98,Dissacrare,4.500 mo,Manuale di Gioco
99,Fiamma Perenne,7.000 mo,Manuale di Gioco
100,Trappola Fantasma,7.000 mo,Manuale di Gioco
