d%,Oggetto,Prezzo,Fonte
01-07,Fiotto Acido,375 mo,Manuale di Gioco
08-14,Creare Acqua,375 mo,Manuale di Gioco
15-20,Frastornare,375 mo,Manuale di Gioco
21-28,Individuazione del Magico,375 mo,Manuale di Gioco
29-34,Suono Fantasma,375 mo,Manuale di Gioco
35-42,Luce,375 mo,Manuale di Gioco
43-49,Mano Magica,375 mo,Manuale di Gioco
50-55,Riparare,375 mo,Manuale di Gioco
56-60,Messaggio,375 mo,Manuale di Gioco
61-66,Prestidigitazione,375 mo,Manuale di Gioco
67-73,Purificare Cibo e Bevande,375 mo,Manuale di Gioco
74-81,Raggio di Gelo,375 mo,Manuale di Gioco
82-88,Lettura del Magico,375 mo,Manuale di Gioco
89-95,Stabilizzare,375 mo,Manuale di Gioco
96-100,Tocco di Affaticamento,375 mo,Manuale di Gioco
