d%,Bacchetta comune,Prezzo,Fonte
01-02,Allarme,750 mo,Manuale di Gioco
03,Animare Corde,750 mo,Manuale di Gioco
04-05,Anatema,750 mo,Manuale di Gioco
06-11,Benedizione,750 mo,Manuale di Gioco
12-14,Mani Brucianti,750 mo,Manuale di Gioco
15-17,Incuti Paura,750 mo,Manuale di Gioco
18-19,Charme su Persone,750 mo,Manuale di Gioco
20-21,Spruzzo Colorato,750 mo,Manuale di Gioco
22-23,Comando,750 mo,Manuale di Gioco
24,Comprensione dei Linguaggi,750 mo,Manuale di Gioco
25-31,Cura Ferite Leggere,750 mo,Manuale di Gioco
32-33,Camuffare Se Stesso,750 mo,Manuale di Gioco
34-37,Favore Divino,750 mo,Manuale di Gioco
38,Contrastare Elementi,750 mo,Manuale di Gioco
39-41,Ingrandire Persone,750 mo,Manuale di Gioco
42-43,Intralciare,750 mo,Manuale di Gioco
44-45,Ritirata Rapida,750 mo,Manuale di Gioco
46,Caduta Morbida,750 mo,Manuale di Gioco
47-48,Unto,750 mo,Manuale di Gioco
49-50,Identificare,750 mo,Manuale di Gioco
51-52,Infliggi Ferite Leggere,750 mo,Manuale di Gioco
53-58,Armatura Magica,750 mo,Manuale di Gioco
59-60,Zanna Magica,750 mo,Manuale di Gioco
61-67,Dardo Incantato,750 mo,Manuale di Gioco
68,Pietra Magica,750 mo,Manuale di Gioco
69-70,Arma Magica,750 mo,Manuale di Gioco
71,Foschia Occultante,750 mo,Manuale di Gioco
72-73,Produrre Fiamma,750 mo,Manuale di Gioco
74,Protezione dal Caos,750 mo,Manuale di Gioco
75,Protezione dal Male,750 mo,Manuale di Gioco
76,Protezione dal Bene,750 mo,Manuale di Gioco
77,Protezione dalla Legge,750 mo,Manuale di Gioco
78-79,Raggio di Indebolimento,750 mo,Manuale di Gioco
80-81,Rimuovi Paura,750 mo,Manuale di Gioco
82-84,Scudo,750 mo,Manuale di Gioco
85-86,Scudo della Fede,750 mo,Manuale di Gioco
87,Randello Incantato,750 mo,Manuale di Gioco
88-89,Stretta Folgorante,750 mo,Manuale di Gioco
90,Immagine Silenziosa,750 mo,Manuale di Gioco
91-94,Sonno,750 mo,Manuale di Gioco
95,Evoca Mostri I,750 mo,Manuale di Gioco
96,Evoca Alleato Naturale I,750 mo,Manuale di Gioco
97-99,Colpo Accurato,750 mo,Manuale di Gioco
100,Servitore Inosservato,750 mo,Manuale di Gioco
