d%,Pergamena non comune,Prezzo,Fonte
01-02,Assorbire TossicitÃ,1.125 mo,Guida al Combattimento
03-04,Crescita Animale,1.125 mo,Manuale di Gioco
05-06,Inaridire,1.125 mo,Manuale di Gioco
07-09,Sogno,1.125 mo,Manuale di Gioco
10-13,Corpo Elementale II,1.125 mo,Manuale di Gioco
14-15,Fabbricare,1.125 mo,Manuale di Gioco
16-19,Serpente di Fuoco,1.125 mo,Guida del Giocatore
20-22,Giustapposizione Ostile,1.125 mo,Guida al Combattimento
23-25,Fossa Affamata,1.125 mo,Guida del Giocatore
26-29,Prigione di Ghiaccio,1.125 mo,Guida alla Magia
30-33,Mano Interposta,1.125 mo,Manuale di Gioco
34-36,Bolla di Vita,1.125 mo,Guida del Giocatore
37-38,Segugio Fedele,1.125 mo,Manuale di Gioco
39-40,Santuario Privato,1.125 mo,Manuale di Gioco
41-43,Creazione Maggiore,1.125 mo,Manuale di Gioco
44-46,Miraggio Arcano,1.125 mo,Manuale di Gioco
47-50,Fisico Mostruoso III,1.125 mo,Guida alla Magia
51-54,Incubo,1.125 mo,Manuale di Gioco
55-56,Immagine Persistente,1.125 mo,Manuale di Gioco
57-60,Adattamento Planare,1.125 mo,Guida del Giocatore
61-64,Forma di Vegetale I,1.125 mo,Manuale di Gioco
65-68,Occhi Indagatori,1.125 mo,Manuale di Gioco
69-70,Scrigno Segreto,1.125 mo,Manuale di Gioco
71-73,Sembrare,1.125 mo,Manuale di Gioco
74-76,Affondo Sonico,1.125 mo,Guida alla Magia
77-79,Asfissia,1.125 mo,Guida del Giocatore
80-82,Legame Telepatico,1.125 mo,Manuale di Gioco
83-84,Trasmutare Fango in Roccia,1.125 mo,Manuale di Gioco
85-86,Trasmutare Roccia in Fango,1.125 mo,Manuale di Gioco
87-90,Anatomia Non Morta II,1.125 mo,Guida alla Magia
91-94,Forma Parassitica II,1.125 mo,Guida alla Magia
95-98,Lame di Vento,1.125 mo,Guida alle Razze
99-100,Visione Falsa,1.125 mo,Manuale di Gioco
