d%,Bacchetta comune,Prezzo,Fonte
01-02,Camminare nell'Aria,21.000 mo,Manuale di Gioco
03-04,Forma Ferina II,21.000 mo,Manuale di Gioco
05-07,Tentacoli Neri,21.000 mo,Manuale di Gioco
08,Martello del Caos,21.000 mo,Manuale di Gioco
09-11,Charme sui Mostri,21.000 mo,Manuale di Gioco
12-14,Confusione,21.000 mo,Manuale di Gioco
15-16,Disperazione Opprimente,21.000 mo,Manuale di Gioco
17-22,Cura Ferite Critiche,21.000 mo,Manuale di Gioco
23-24,Interdizione alla Morte,21.000 mo,Manuale di Gioco
25-28,Porta Dimensionale,21.000 mo,Manuale di Gioco
29,Ancora Dimensionale,21.000 mo,Manuale di Gioco
30,Congedo,21.000 mo,Manuale di Gioco
31-33,Potere Divino,21.000 mo,Manuale di Gioco
34-35,Corpo Elementale I,21.000 mo,Manuale di Gioco
36-37,Debilitazione,21.000 mo,Manuale di Gioco
38-39,Ingrandire Persone di Massa,21.000 mo,Manuale di Gioco
40-42,Paura,21.000 mo,Manuale di Gioco
43-44,Scudo di Fuoco,21.000 mo,Manuale di Gioco
45-48,Colpo Infuocato,21.000 mo,Manuale di Gioco
49-51,LibertÃ di Movimento,21.000 mo,Manuale di Gioco
52-53,Globo di InvulnerabilitÃ Inferiore,21.000 mo,Manuale di Gioco
54,Punizione Sacra,21.000 mo,Manuale di Gioco
55-56,Tempesta di Ghiaccio,21.000 mo,Manuale di Gioco
57-58,Infondere CapacitÃ Magiche,21.000 mo,Manuale di Gioco
59-61,Infliggi Ferite Critiche,21.000 mo,Manuale di Gioco
62-65,InvisibilitÃ Superiore,21.000 mo,Manuale di Gioco
66,Collera dell'Ordine,21.000 mo,Manuale di Gioco
67-69,Allucinazione Mortale,21.000 mo,Manuale di Gioco
70,Sfera Elastica,21.000 mo,Manuale di Gioco
71-72,Scrutare,21.000 mo,Manuale di Gioco
73,Inviare,21.000 mo,Manuale di Gioco
74,Grido,21.000 mo,Manuale di Gioco
75-76,Nebbia Solida,21.000 mo,Manuale di Gioco
77-79,ImmunitÃ agli Incantesimi,21.000 mo,Manuale di Gioco
80,Evoca Mostri IV,21.000 mo,Manuale di Gioco
81,Evoca Alleato Naturale IV,21.000 mo,Manuale di Gioco
82,Influenza Sacrilega,21.000 mo,Manuale di Gioco
83-87,Muro di Fuoco,21.000 mo,Manuale di Gioco
88-91,Muro di Ghiaccio,21.000 mo,Manuale di Gioco
92-93,Divinazione,22.250 mo,Manuale di Gioco
94-95,Ristorare,26.000 mo,Manuale di Gioco
96,Spezzare Incantamento,30.000 mo,Manuale di Gioco
97-98,Pelle di Pietra,33.500 mo,Manuale di Gioco
99,Alleato Planare Inferiore,46.000 mo,Manuale di Gioco
100,Ristorare  *,71.000 mo,Manuale di Gioco
*  PuÃ² dissolvere livelli negativi permanenti,*  PuÃ² dissolvere livelli negativi permanenti,*  PuÃ² dissolvere livelli negativi permanenti,*  PuÃ² dissolvere livelli negativi permanenti
