d%,Pergamena comune,Prezzo,Fonte
01-09,Fiotto Acido,"12 mo, 5 ma",Manuale di Gioco
10-17,Frastornare,"12 mo, 5 ma",Manuale di Gioco
18-27,Individuazione del Magico,"12 mo, 5 ma",Manuale di Gioco
28-35,Lampo,"12 mo, 5 ma",Manuale di Gioco
36-45,Luce,"12 mo, 5 ma",Manuale di Gioco
46-55,Mano Magica,"12 mo, 5 ma",Manuale di Gioco
56-63,Riparare,"12 mo, 5 ma",Manuale di Gioco
64-72,Prestidigitazione,"12 mo, 5 ma",Manuale di Gioco
73-81,Raggio di Gelo,"12 mo, 5 ma",Manuale di Gioco
82-91,Lettura del Magico,"12 mo, 5 ma",Manuale di Gioco
92-100,Tocco di Affaticamento,"12 mo, 5 ma",Manuale di Gioco
