d%,Bacchetta non comune,Prezzo,Fonte
01-04,Aspetto Animale Superiore,11.250 mo,Guida al Combattimento
05-06,Sfera Acquea,11.250 mo,Guida del Giocatore
07-08,Vista Arcana,11.250 mo,Manuale di Gioco
09-11,Aura dell'Arconte,11.250 mo,Guida alla Magia
12-14,Tempesta di Cenere,11.250 mo,Guida alla Magia
15-17,Scagliare Maledizione,11.250 mo,Manuale di Gioco
18-20,Chiaroudienza/Chiaroveggenza,11.250 mo,Manuale di Gioco
21-22,Contagio,11.250 mo,Manuale di Gioco
23,Rimpicciolire Vegetali,11.250 mo,Manuale di Gioco
24-25,Dominare Animali,11.250 mo,Manuale di Gioco
26-29,Aura Elementale,11.250 mo,Guida del Giocatore
30,Rune Esplosive,11.250 mo,Manuale di Gioco
31-34,Pugno di Forza,11.250 mo,Guida alla Magia
35,Fermare Non Morti,11.250 mo,Manuale di Gioco
36-37,Mano in Aiuto,11.250 mo,Manuale di Gioco
38-40,Levitazione Ostile,11.250 mo,Guida al Combattimento
41-43,Agonia Ululante,11.250 mo,Guida alla Magia
44-45,Torrente Idraulico,11.250 mo,Guida del Giocatore
46,Scimmie Folli,11.250 mo,Guida alla Magia
47-49,Fondersi nella Pietra,11.250 mo,Manuale di Gioco
50-52,Neutralizza Veleno,11.250 mo,Manuale di Gioco
53-54,Colpo Doloroso,11.250 mo,Guida del Giocatore
55,Destriero Fantomatico,11.250 mo,Manuale di Gioco
56-57,Crescita Vegetale,11.250 mo,Manuale di Gioco
58-60,Veleno,11.250 mo,Manuale di Gioco
61,Estinguere Fuoco,11.250 mo,Manuale di Gioco
62-65,Ira,11.250 mo,Manuale di Gioco
66-67,Raggio di Esaurimento,11.250 mo,Manuale di Gioco
68-69,Pelle Resinosa,11.250 mo,Guida al Combattimento
70,Pagina Segreta,11.250 mo,Manuale di Gioco
71,Restringere Oggetto,11.250 mo,Manuale di Gioco
72-73,Calappio,11.250 mo,Manuale di Gioco
74,Parlare con i Vegetali,11.250 mo,Manuale di Gioco
75-76,Crescita di Spine,11.250 mo,Manuale di Gioco
77,Capanna,11.250 mo,Manuale di Gioco
78-81,Camminare sull'Acqua,11.250 mo,Manuale di Gioco
82-84,Muro di Vento,11.250 mo,Manuale di Gioco
85-86,Manto Furioso,11.250 mo,Guida del Giocatore
87,Scritto Illusorio,11.250 mo,Manuale di Gioco
88-89,Anti-individuazione,11.250 mo,Manuale di Gioco
90-91,LoquacitÃ,15.750 mo,Manuale di Gioco
92-95,Buone Speranze,15.750 mo,Manuale di Gioco
96-97,Guarire Cavalcatura,15.750 mo,Manuale di Gioco
98,Modellare Suono,15.750 mo,Manuale di Gioco
99,Glifo di Interdizione,21.250 mo,Manuale di Gioco
100,Sigillo del Serpente,36.250 mo,Manuale di Gioco
