d%,CapacitÃ Speciale Scudi +1,Prezzo Base  *,Fonte
01â10,Resistenza al Veleno,+2.250 mo,Guida all'Equipaggiamento
11-19,Attirare Frecce,Bonus +1  1,Manuale di Gioco
20-28,Sfondamento,Bonus +1,Manuale di Gioco
29-37,Accecante,Bonus +1,Manuale di Gioco
38-46,Fragoroso,Bonus +1,Guida all'Equipaggiamento
47-55,Sprezzante,Bonus +1,Guida all'Equipaggiamento
56-64,Fortificazione (Leggera),Bonus +1,Manuale di Gioco
65-73,Dentellata,Bonus +1,Guida all'Equipaggiamento
74-82,Imperturbabile,Bonus +1,Guida all'Equipaggiamento
83-91,Specchio,Bonus +1,Guida all'Equipaggiamento
92-100,Ariete,Bonus +1,Guida all'Equipaggiamento
-,Guardia,Bonus +1,Guida alle Razze
d%,CapacitÃ Speciale Scudi +2,Prezzo Base  *,Fonte
01-15,Rincuorante,+5.000 mo,Guida all'Equipaggiamento
16-30,Soffio del Dragone,+5.000 mo,Guida all'Equipaggiamento
31-50,Animato,Bonus +2,Manuale di Gioco
51-67,Deviazione delle Frecce,Bonus +2,Manuale di Gioco
68-82,Fusione,Bonus +2,Guida all'Equipaggiamento
83-100,Resistenza agli Incantesimi (13),Bonus +2,Manuale di Gioco
-,Guardia Superiore,Bonus +2,Guida alle Razze
-,Stridente,Bonus +2,Guida alle Classi
d%,CapacitÃ Speciale Scudi +3,Prezzo Base  *,Fonte
01-15,Ospitale,+7.500 mo,Guida all'Equipaggiamento
16-32,Brillante,+7.500 mo,Guida all'Equipaggiamento
33-49,Fortificazione (Moderata),Bonus +3,Manuale di Gioco
50-66,Tocco Fantasma,Bonus +3,Manuale di Gioco
67-83,Resistenza agli Incantesimi (15),Bonus +3,Manuale di Gioco
84-100,Selvatica,Bonus +3,Manuale di Gioco
-,Deflettente,Bonus +3,Avventure Mitiche
d%,CapacitÃ Speciale Scudi +4,Prezzo Base  *,Fonte
01-50,Resistenza all'Energia,+18.000 mo,Manuale di Gioco
51-100,Resistenza agli Incantesimi (17),Bonus +4,Manuale di Gioco
d%,CapacitÃ Speciale Scudi +5,Prezzo Base  *,Fonte
01-11,Determinazione,+30.000 mo,Guida del Giocatore
12-27,Resistenza all'Energia Migliorata,+42.000 mo,Manuale di Gioco
28-38,Controllo dei Non Morti,+49.000 mo,Manuale di Gioco
39-55,Resistenza all'Energia Superiore,+66.000 mo,Manuale di Gioco
56-70,Fortificazione (Pesante),Bonus +5,Manuale di Gioco
71-85,Riflettente,Bonus +5,Manuale di Gioco
86-100,Resistenza agli Incantesimi (19),Bonus +5,Manuale di Gioco
Da aggiungere al  Bonus di Potenziamento  della  Tabella: Prezzi dei Bonus per Armature e Scudi  per determinare il prezzo di mercato totale.,Da aggiungere al  Bonus di Potenziamento  della  Tabella: Prezzi dei Bonus per Armature e Scudi  per determinare il prezzo di mercato totale.,Da aggiungere al  Bonus di Potenziamento  della  Tabella: Prezzi dei Bonus per Armature e Scudi  per determinare il prezzo di mercato totale.,Da aggiungere al  Bonus di Potenziamento  della  Tabella: Prezzi dei Bonus per Armature e Scudi  per determinare il prezzo di mercato totale.
