d%,Pergamena non comune,Prezzo,Fonte
01-02,Fossa Acida,700 mo,Guida del Giocatore
03-06,Occhio Arcano,700 mo,Manuale di Gioco
07-10,Fulmine Globulare,700 mo,Guida del Giocatore
11-13,Contagio,700 mo,Manuale di Gioco
14-17,Scurovisione Superiore,700 mo,Guida alla Magia
18-19,Individuazione dello Scrutamento,700 mo,Manuale di Gioco
20-23,Soffio del Drago,700 mo,Guida del Giocatore
24-28,Vita Falsata Superiore,700 mo,Guida alla Magia
29-32,Pioggia di Fuoco,700 mo,Guida del Giocatore
33-35,Costrizione Inferiore,700 mo,Manuale di Gioco
36-39,Lupo Fantasma,700 mo,Guida alle Razze
40-41,Terreno Illusorio,700 mo,Manuale di Gioco
42-43,Muro Illusorio,700 mo,Manuale di Gioco
44-46,Localizza Creatura,700 mo,Manuale di Gioco
47-50,Creazione Minore,700 mo,Manuale di Gioco
51-54,Fisico Mostruoso II,700 mo,Guida alla Magia
55-57,Flusso di Ossidiana,700 mo,Guida al Combattimento
58-59,Biga Fantomatica,700 mo,Guida al Combattimento
60-62,Trama Iridescente,700 mo,Manuale di Gioco
63-64,Ridurre Persone di Massa,700 mo,Manuale di Gioco
65-68,Rimuovi Maledizione,700 mo,Manuale di Gioco
69-71,Riparo Sicuro,700 mo,Manuale di Gioco
72-74,Proiettare Ombra,700 mo,Guida del Giocatore
75-79,Immagine Scioccante,700 mo,Guida al Combattimento
80-83,Carica Telecinetica,700 mo,Guida al Combattimento
84-85,Vera Forma,700 mo,Guida del Giocatore
86-89,Forma Parassitica I,700 mo,Guida alla Magia
90-94,Tempesta Vulcanica,700 mo,Guida alla Magia
95-97,Stelle Vagabonde,700 mo,Guida del Giocatore
98-99,Trappola di Fuoco,725 mo,Manuale di Gioco
100,Potenziatore Mnemonico,750 mo,Manuale di Gioco
