d%,Pergamena non comune,Prezzo,Fonte
01-04,Analizzare Dweomer,1.650 mo,Manuale di Gioco
05-08,Legame di Battaglia,1.650 mo,Guida alla Magia
09-12,Manto dei Sogni,1.650 mo,Guida del Giocatore
13-15,Contagio Superiore,1.650 mo,Guida alla Magia
16-20,Fiamma Contagiosa,1.650 mo,Guida del Giocatore
21-26,Contingenza,1.650 mo,Manuale di Gioco
27-30,Controllare Acqua,1.650 mo,Manuale di Gioco
31-35,Corpo Elementale III,1.650 mo,Manuale di Gioco
36-39,Forma Fluida,1.650 mo,Guida del Giocatore
40-45,Mano Possente,1.650 mo,Manuale di Gioco
46-48,Sfera Congelante,1.650 mo,Manuale di Gioco
49-53,Costrizione/Cerca,1.650 mo,Manuale di Gioco
54-57,Fuga,1.650 mo,Guida del Giocatore
58-59,Vigilanza e Interdizione,1.650 mo,Manuale di Gioco
60-61,Elucubrazione Arcana,1.650 mo,Manuale di Gioco
62-66,Fisico Mostruoso IV,1.650 mo,Guida alla Magia
67-68,Muovere il Terreno,1.650 mo,Manuale di Gioco
69-71,Immagine Permanente,1.650 mo,Manuale di Gioco
72-76,Forma di Vegetale II,1.650 mo,Manuale di Gioco
77-80,Repulsione,1.650 mo,Manuale di Gioco
81-84,Scirocco,1.650 mo,Guida del Giocatore
85-87,Pozza di Catrame,1.650 mo,Guida al Combattimento
88-92,Anatomia Non Morta III,1.650 mo,Guida alla Magia
93-95,Immagine Programmata,1.650 mo,Manuale di Gioco
96-98,Non Morto a Morto,1.650 mo,Manuale di Gioco
99-100,Simbolo di Persuasione,1.650 mo,Manuale di Gioco
