d%,Bacchetta non comune,Prezzo,Fonte
01-02,Carico della Formica,750 mo,Guida del Giocatore
03-05,Aspetto del Falco,750 mo,Guida del Giocatore
06-07,Benedire un'Arma,750 mo,Manuale di Gioco
08,Calmare Animali,750 mo,Manuale di Gioco
09-10,Charme su Animali,750 mo,Manuale di Gioco
11-12,Tocco Gelido,750 mo,Manuale di Gioco
13-14,Imporre OstilitÃ,750 mo,Guida al Combattimento
15-17,Confusione Inferiore,750 mo,Manuale di Gioco
18-19,Tocco Corrosivo,750 mo,Guida alla Magia
20-21,Visione della Morte,750 mo,Manuale di Gioco
22,Individuazione di Animali o Vegetali,750 mo,Manuale di Gioco
23,Individuazione del Caos,750 mo,Manuale di Gioco
24,Individuazione del Male,750 mo,Manuale di Gioco
25,Individuazione del Bene,750 mo,Manuale di Gioco
26,Individuazione della Legge,750 mo,Manuale di Gioco
27-28,Individuazione delle Porte Segrete,750 mo,Manuale di Gioco
29,Individuazione di Calappi e Trabocchetti,750 mo,Manuale di Gioco
30-31,Individuazione dei Non Morti,750 mo,Manuale di Gioco
32-35,Devastazione,750 mo,Manuale di Gioco
36-37,Scudo Entropico,750 mo,Manuale di Gioco
38,Cancellare,750 mo,Manuale di Gioco
39,Luminescenza,750 mo,Manuale di Gioco
40-41,Passo Morbido,750 mo,Guida del Giocatore
42-44,Disco Fluttuante,750 mo,Manuale di Gioco
45-47,Bacche Benefiche,750 mo,Manuale di Gioco
48-49,Nascondersi agli Animali,750 mo,Manuale di Gioco
50-51,Nascondersi ai Non Morti,750 mo,Manuale di Gioco
52,Risata Incontenibile,750 mo,Manuale di Gioco
53-54,Blocca Porte,750 mo,Manuale di Gioco
55-56,Ipnosi,750 mo,Manuale di Gioco
57-58,Pugnale di Ghiaccio,750 mo,Guida alla Magia
59-60,Malaugurio,750 mo,Guida del Giocatore
61-63,Saltare,750 mo,Manuale di Gioco
64-65,Passo Veloce,750 mo,Manuale di Gioco
66,Aura Magica,750 mo,Manuale di Gioco
67-68,Cavalcatura,750 mo,Manuale di Gioco
69,Occulta Oggetto,750 mo,Manuale di Gioco
70-71,Passare Senza Tracce,750 mo,Manuale di Gioco
72,Raggio di Debilitazione,750 mo,Guida alla Magia
73-75,Ridurre Persone,750 mo,Manuale di Gioco
76-78,Santuario,750 mo,Manuale di Gioco
79-80,Scudo Scossa,750 mo,Guida al Combattimento
81-83,Parlare con gli Animali,750 mo,Manuale di Gioco
84-85,Pugni di Pietra,750 mo,Guida del Giocatore
86-87,Scudo di Pietra,750 mo,Guida alle Razze
88,Evoca Mostri Minori,750 mo,Guida alla Magia
89,Allineamento Imperscrutabile,750 mo,Manuale di Gioco
90-92,Grazia Urbana,750 mo,Guida alle Razze
93-96,Svanire,750 mo,Guida del Giocatore
97,Ventriloquio,750 mo,Manuale di Gioco
98,Bocca Magica,1.250 mo,Manuale di Gioco
99,Benedire l'Acqua,2.000 mo,Manuale di Gioco
100,Maledire l'Acqua,2.000 mo,Manuale di Gioco
