d%,Oggetto,Prezzo,Fonte
01-04,Animare Corde,50 mo,Manuale di Gioco
05-11,Carico della Formica,50 mo,Guida del Giocatore
12-16,Manto delle Ombre,50 mo,Guida del Giocatore
17-20,Cancellare,50 mo,Manuale di Gioco
21-26,Passo Morbido,50 mo,Guida del Giocatore
27-30,Bacche Benefiche,50 mo,Manuale di Gioco
31-34,Unto,50 mo,Manuale di Gioco
35-41,Nascondersi agli Animali,50 mo,Manuale di Gioco
42-49,Nascondersi ai Non Morti,50 mo,Manuale di Gioco
50-53,Blocca Porte,50 mo,Manuale di Gioco
54-58,Rinvigorire,50 mo,Guida del Giocatore
59-64,Sensi Sviluppati,50 mo,Guida del Giocatore
65-68,Pietra Magica,50 mo,Manuale di Gioco
69-75,Rimuovere InfermitÃ,50 mo,Guida alla Magia
76-80,Santificare Cadavere,50 mo,Guida alla Magia
81-84,Randello Incantato,50 mo,Manuale di Gioco
85-92,Tocco del Mare,50 mo,Guida del Giocatore
93-100,Svanire,50 mo,Guida del Giocatore
