d%,Oggetto,Prezzo,Fonte
01-06,Cura Ferite Gravi,750 mo,Manuale di Gioco
07-10,Dissolvi Magie,750 mo,Manuale di Gioco
11-14,Distorsione,750 mo,Manuale di Gioco
15-20,Volare,750 mo,Manuale di Gioco
21-25,Forma Gassosa,750 mo,Manuale di Gioco
26-29,Buone Speranze,750 mo,Manuale di Gioco
30-35,VelocitÃ,750 mo,Manuale di Gioco
36-40,Eroismo,750 mo,Manuale di Gioco
41-44,EstremitÃ Affilata,750 mo,Manuale di Gioco
45-48,Zanna Magica Superiore,750 mo,Manuale di Gioco
49-52,Veste Magica,750 mo,Manuale di Gioco
53-57,Neutralizza Veleno,750 mo,Manuale di Gioco
58-60,"Protezione dall'Energia, Acido",750 mo,Manuale di Gioco
61-63,"Protezione dall'Energia, Freddo",750 mo,Manuale di Gioco
64-66,"Protezione dall'Energia, ElettricitÃ",750 mo,Manuale di Gioco
67-69,"Protezione dall'Energia, Fuoco",750 mo,Manuale di Gioco
70-71,"Protezione dall'Energia, Sonoro",750 mo,Manuale di Gioco
72-74,Ira,750 mo,Manuale di Gioco
75-77,Rimuovi CecitÃ /SorditÃ,750 mo,Manuale di Gioco
78-81,Rimuovi Maledizione,750 mo,Manuale di Gioco
82-86,Rimuovi Malattia,750 mo,Manuale di Gioco
87-91,Linguaggi,750 mo,Manuale di Gioco
92-96,Respirare Sott'Acqua,750 mo,Manuale di Gioco
97-100,Camminare sull'Acqua,750 mo,Manuale di Gioco
