d%,Capacità speciale,Prezzo,Fonte
01-10,Anarchica  3,Bonus +2,Manuale di Gioco
11-13,Ancorante  6,Bonus +2,Guida all'Equipaggiamento
14-23,Assiomatica  3,Bonus +2,Manuale di Gioco
24-31,Esplosione Corrosiva  3,Bonus +2,Guida del Giocatore
32-34,Designante Inferiore  3,Bonus +2,Guida all'Equipaggiamento
35-37,Munizioni Infinite  7,Bonus +2,Guida all'Equipaggiamento
38-48,Esplosione di Fiamme  3,Bonus +2,Manuale di Gioco
49-58,Sacra  3,Bonus +2,Manuale di Gioco
59-69,Esplosione di Ghiaccio  3,Bonus +2,Manuale di Gioco
70-73,Incendiaria  3,Bonus +2,Guida alle Razze
74-76,Blocca Fase  3,Bonus +2,Guida all'Equipaggiamento
77-86,Esplosione Folgorante  3,Bonus +2,Manuale di Gioco
87-90,Posta,Bonus +2,Guida all'Equipaggiamento
91-100,Sacrilega  3,Bonus +2,Manuale di Gioco
