d%,Capacità speciale,Prezzo,Fonte
01-06,Benevola,Bonus +1,Guida all'Equipaggiamento
07-12,Resistenza al Veleno,+2.250 mo,Guida all'Equipaggiamento
13-18,Bilanciata,Bonus +1,Guida all'Equipaggiamento
19-24,Amara,Bonus +1,Guida all'Equipaggiamento
25-30,Sostegno,Bonus +1,Guida all'Equipaggiamento
31-37,Campione,Bonus +1,Guida del Giocatore
38-43,Vile,Bonus +1,Guida del Giocatore
44-50,ImmortalitÃ,Bonus +1,Guida all'Equipaggiamento
51-56,Sprezzante,Bonus +1,Guida all'Equipaggiamento
57-63,Fortificazione (Leggera),Bonus +1,Manuale di Gioco
64-69,Dentellata,Bonus +1,Guida all'Equipaggiamento
70-75,Imperturbabile,Bonus +1,Guida all'Equipaggiamento
76-81,Specchio,Bonus +1,Guida all'Equipaggiamento
82-88,Accumula Incantesimi,Bonus +1,Guida all'Equipaggiamento
89-94,Antiemorragica,Bonus +1,Guida all'Equipaggiamento
95-100,Interdittiva,Bonus +1,Guida all'Equipaggiamento
-,Assicurante,Bonus +1,Guida alle Classi
-,Calmante,Bonus +1,Guida alle Classi
-,Risonante,Bonus +1,Avventure Mitiche
