d%,Oggetto,Prezzo,Fonte
01-03,Metamorfosi Funesta,1.125 mo,Manuale di Gioco
04-07,Forma Ferina III,1.125 mo,Manuale di Gioco
08-10,Spezzare Incantamento,1.125 mo,Manuale di Gioco
11-15,Nube Mortale,1.125 mo,Manuale di Gioco
16-21,Cono di Freddo,1.125 mo,Manuale di Gioco
22-23,Contattare Altri Piani,1.125 mo,Manuale di Gioco
24-26,Congedo,1.125 mo,Manuale di Gioco
27-31,Dominare Persone,1.125 mo,Manuale di Gioco
32-35,Regressione Mentale,1.125 mo,Manuale di Gioco
36-40,Blocca Mostri,1.125 mo,Manuale di Gioco
41-43,Giara Magica,1.125 mo,Manuale di Gioco
44-46,Nebbia Mentale,1.125 mo,Manuale di Gioco
47-51,Volo Giornaliero,1.125 mo,Manuale di Gioco
52-54,Passapareti,1.125 mo,Manuale di Gioco
55-56,Permanenza,1.125 mo,Manuale di Gioco
57-58,Legame Planare Inferiore,1.125 mo,Manuale di Gioco
59-62,Metamorfosi,1.125 mo,Manuale di Gioco
63-65,Inviare,1.125 mo,Manuale di Gioco
66-69,Ombra di una Invocazione,1.125 mo,Manuale di Gioco
70-73,Evoca Mostri V,1.125 mo,Manuale di Gioco
74-76,Telecinesi,1.125 mo,Manuale di Gioco
77-82,Teletrasporto,1.125 mo,Manuale di Gioco
83-88,Muro di Forza,1.125 mo,Manuale di Gioco
89-92,Muro di Pietra,1.125 mo,Manuale di Gioco
93-95,Onde di Affaticamento,1.125 mo,Manuale di Gioco
96-97,Simbolo di Dolore,2.125 mo,Manuale di Gioco
98-100,Simbolo di Sonno,2.125 mo,Manuale di Gioco
