d%,Oggetto,Prezzo,Fonte
01-07,Sigillo Arcano,"12 mo, 5 ma",Manuale di Gioco
08-17,Dissanguare,"12 mo, 5 ma",Manuale di Gioco
18-25,Luci Danzanti,"12 mo, 5 ma",Manuale di Gioco
26-35,Individuazione del Veleno,"12 mo, 5 ma",Manuale di Gioco
36-42,Distruggere Non Morti,"12 mo, 5 ma",Manuale di Gioco
43-51,Suono Fantasma,"12 mo, 5 ma",Manuale di Gioco
52-61,Messaggio,"12 mo, 5 ma",Manuale di Gioco
62-68,Aprire/Chiudere,"12 mo, 5 ma",Manuale di Gioco
69-75,Resistenza,"12 mo, 5 ma",Manuale di Gioco
84-92,Scintilla,"12 mo, 5 ma",Guida del Giocatore
