d%,Oggetto,Prezzo,Fonte
01-04,Vista Arcana Superiore,2.275 mo,Manuale di Gioco
05-07,Esilio,2.275 mo,Manuale di Gioco
08-13,Palla di Fuoco Ritardata,2.275 mo,Manuale di Gioco
14-17,Transizione Eterea,2.275 mo,Manuale di Gioco
18-22,Dito della Morte,2.275 mo,Manuale di Gioco
23-27,Forma di Drago II,2.275 mo,Manuale di Gioco
28-30,Blocca Persone di Massa,2.275 mo,Manuale di Gioco
31-35,InvisibilitÃ di Massa,2.275 mo,Manuale di Gioco
36-39,Spada Magica,2.275 mo,Manuale di Gioco
40-42,Porta in Fase,2.275 mo,Manuale di Gioco
43-48,Spostamento Planare,2.275 mo,Manuale di Gioco
49-53,Metamorfosi Superiore,2.275 mo,Manuale di Gioco
54-57,"Parola del Potere, Accecare",2.275 mo,Manuale di Gioco
58-62,Spruzzo Prismatico,2.275 mo,Manuale di Gioco
62-66,Inversione della GravitÃ,2.275 mo,Manuale di Gioco
67-70,Scrutare Superiore,2.275 mo,Manuale di Gioco
71-73,Ombra di una Evocazione Superiore,2.275 mo,Manuale di Gioco
74-78,Riflettere Incantesimo,2.275 mo,Manuale di Gioco
79-81,Evoca Mostri VII,2.275 mo,Manuale di Gioco
82-87,Teletrasporto Superiore,2.275 mo,Manuale di Gioco
88-90,Onde di Esaurimento,2.275 mo,Manuale di Gioco
91-93,Immagine Proiettata,2.280 mo,Manuale di Gioco
94-97,Gabbia di Forza,2.775 mo,Manuale di Gioco
98-100,Desiderio Limitato,3.775 mo,Manuale di Gioco
