d%,Oggetto,Prezzo,Fonte
01-03,Nebbia Acida,1.650 mo,Manuale di Gioco
04-07,Campo Antimagia,1.650 mo,Manuale di Gioco
08-10,Resistenza dell'Orso di Massa,1.650 mo,Manuale di Gioco
11-13,Forma Ferina IV,1.650 mo,Manuale di Gioco
14-16,Forza del Toro di Massa,1.650 mo,Manuale di Gioco
17-19,Grazia del Gatto di Massa,1.650 mo,Manuale di Gioco
20-25,Catena di Fulmini,1.650 mo,Manuale di Gioco
26-31,Disintegrazione,1.650 mo,Manuale di Gioco
32-37,Dissolvi Magie Superiore,1.650 mo,Manuale di Gioco
38-40,Splendore dell'Aquila di Massa,1.650 mo,Manuale di Gioco
41-42,Sguardo Penetrante,1.650 mo,Manuale di Gioco
43-47,Carne in Pietra,1.650 mo,Manuale di Gioco
48-50,Forma di Drago I,1.650 mo,Manuale di Gioco
51-53,Astuzia della Volpe di Massa,1.650 mo,Manuale di Gioco
54-56,Globo di InvulnerabilitÃ,1.650 mo,Manuale di Gioco
57-59,Eroismo Superiore,1.650 mo,Manuale di Gioco
60-62,Fuorviare,1.650 mo,Manuale di Gioco
63-65,Saggezza del Gufo di Massa,1.650 mo,Manuale di Gioco
66-67,Legame Planare,1.650 mo,Manuale di Gioco
68-70,Camminare nelle Ombre,1.650 mo,Manuale di Gioco
71-72,Pietra in Carne,1.650 mo,Manuale di Gioco
73-76,Suggestione di Massa,1.650 mo,Manuale di Gioco
77-79,Evoca Mostri VI,1.650 mo,Manuale di Gioco
80-82,Trasformazione Arcana,1.650 mo,Manuale di Gioco
83-84,Velo,1.650 mo,Manuale di Gioco
85-87,Muro di Ferro,1.700 mo,Manuale di Gioco
88-89,Creare Non Morti,1.750 mo,Manuale di Gioco
90-92,Conoscenza delle Leggende,1.900 mo,Manuale di Gioco
93-96,Visione del Vero,1.900 mo,Manuale di Gioco
97-98,Cerchio di Morte,2.150 mo,Manuale di Gioco
99-100,Simbolo di Paura,2.650 mo,Manuale di Gioco
