d%,Oggetto,Prezzo,Fonte
01-03,Forma Ferina I,375 mo,Manuale di Gioco
04-07,Intermittenza,375 mo,Manuale di Gioco
08-12,Dissolvi Magie,375 mo,Manuale di Gioco
13-16,Distorsione,375 mo,Manuale di Gioco
17-21,Palla di Fuoco,375 mo,Manuale di Gioco
22-24,Freccia Infuocata,375 mo,Manuale di Gioco
25-29,Volare,375 mo,Manuale di Gioco
30-32,Forma Gassosa,375 mo,Manuale di Gioco
33-37,VelocitÃ,375 mo,Manuale di Gioco
38-40,Eroismo,375 mo,Manuale di Gioco
41-43,Blocca Persone,375 mo,Manuale di Gioco
44-46,Sfera di InvisibilitÃ,375 mo,Manuale di Gioco
47-51,Fulmine,375 mo,Manuale di Gioco
52-54,Cerchio Magico Contro il Caos,375 mo,Manuale di Gioco
55-57,Cerchio Magico Contro il Male,375 mo,Manuale di Gioco
58-60,Cerchio Magico Contro il Bene,375 mo,Manuale di Gioco
61-63,Cerchio Magico Contro la Legge,375 mo,Manuale di Gioco
64-66,Immagine Maggiore,375 mo,Manuale di Gioco
67-70,Destriero Fantomatico,375 mo,Manuale di Gioco
71-74,Protezione dall'Energia,375 mo,Manuale di Gioco
75-78,Lentezza,375 mo,Manuale di Gioco
79-81,Nube Maleodorante,375 mo,Manuale di Gioco
82-84,Suggestione,375 mo,Manuale di Gioco
85-87,Evoca Mostri III,375 mo,Manuale di Gioco
88-90,Capanna,375 mo,Manuale di Gioco
91-94,Linguaggi,375 mo,Manuale di Gioco
95-97,Tocco del Vampiro,375 mo,Manuale di Gioco
98-100,Respirare Sott'Acqua,375 mo,Manuale di Gioco
