d%,Oggetto,Prezzo,Fonte
01-06,Creare Semipiano Superiore,3.825 mo,Guida alla Magia
07-15,Mano Stritolatrice,3.825 mo,Manuale di Gioco
16-23,Forma Eterea,3.825 mo,Manuale di Gioco
24-31,Corpo Infuocato,3.825 mo,Guida del Giocatore
32-38,Previsione,3.825 mo,Manuale di Gioco
39-44,Invocazione Eroica,3.825 mo,Guida al Combattimento
45-50,Prigione di Ghiaccio di Massa,3.825 mo,Guida alla Magia
51-57,Cavalcare il Fulmine,3.825 mo,Guida alla Magia
58-65,Ombre,3.825 mo,Manuale di Gioco
66-72,Legare Anima,3.825 mo,Manuale di Gioco
73-79,Tsunami,3.825 mo,Guida del Giocatore
80-88,Lamento della Banshee,3.825 mo,Manuale di Gioco
89-95,Venti di Vendetta,3.825 mo,Guida del Giocatore
96-100,Rifugio,3.825 mo,Manuale di Gioco
