d%,Oggetto,Prezzo,Fonte
01-05,Charme sui Mostri di Massa,3.000 mo,Manuale di Gioco
06-09,Esigere,3.000 mo,Manuale di Gioco
10-13,Serratura Dimensionale,3.000 mo,Manuale di Gioco
14-18,Forma di Drago III,3.000 mo,Manuale di Gioco
19-23,Orrido Avvizzimento,3.000 mo,Manuale di Gioco
24-28,Nube Incendiaria,3.000 mo,Manuale di Gioco
29-33,Danza Irresistibile,3.000 mo,Manuale di Gioco
34-40,Labirinto,3.000 mo,Manuale di Gioco
41-45,Vuoto Mentale,3.000 mo,Manuale di Gioco
46-49,Legame Planare Superiore,3.000 mo,Manuale di Gioco
50-55,Raggio Polare,3.000 mo,Manuale di Gioco
56-59,Metamorfosi Suprema,3.000 mo,Manuale di Gioco
60-66,"Parola del Potere, Stordire",3.000 mo,Manuale di Gioco
67-72,Muro Prismatico,3.000 mo,Manuale di Gioco
73-76,Trama Scintillante,3.000 mo,Manuale di Gioco
77-80,Evoca Mostri VIII,3.000 mo,Manuale di Gioco
81-85,Sfera Telecinetica,3.000 mo,Manuale di Gioco
86-90,Protezione dagli Incantesimi,3.500 mo,Manuale di Gioco
91-94,Simbolo di Morte,8.000 mo,Manuale di Gioco
95-97,Stasi Temporale,8.000 mo,Manuale di Gioco
98-100,Intrappolare l'Anima,23.000 mo,Manuale di Gioco
