d%,Oggetto,Prezzo,Fonte
01-03,Controllare Non Morti,2.275 mo,Manuale di Gioco
04-07,Controllare Tempo Atmosferico,2.275 mo,Manuale di Gioco
08-10,Creare Semipiano Inferiore,2.275 mo,Guida alla Magia
11-14,Deflettere,2.275 mo,Guida del Giocatore
15-19,Corpo Elementale IV,2.275 mo,Manuale di Gioco
20-23,Marchio di Fuoco,2.275 mo,Guida del Giocatore
24-29,Volare di Massa,2.275 mo,Guida del Giocatore
30-34,Forma di Gigante I,2.275 mo,Manuale di Gioco
35-40,Mano Stringente,2.275 mo,Manuale di Gioco
41-44,Giustapposizione Ostile Superiore,2.275 mo,Guida al Combattimento
45-49,Corpo di Ghiaccio,2.275 mo,Guida alla Magia
50-53,Demenza,2.275 mo,Manuale di Gioco
54-56,Reggia Meravigliosa,2.275 mo,Manuale di Gioco
57-61,Vendetta Fantasma,2.275 mo,Guida del Giocatore
62-65,Tempesta Infettiva,2.275 mo,Guida alla Magia
66-70,Forma di Vegetale III,2.275 mo,Manuale di Gioco
71-74,Parola Risonante,2.275 mo,Guida alla Magia
75-78,Celare,2.275 mo,Manuale di Gioco
79-81,Statua,2.275 mo,Manuale di Gioco
82-84,Teletrasporto degli Oggetti,2.275 mo,Manuale di Gioco
85-88,Camminare nello Spazio,2.275 mo,Guida al Combattimento
89-91,Visione,2.525 mo,Manuale di Gioco
92-93,Evocazioni Istantanee,3.275 mo,Manuale di Gioco
94-96,Simbolo di Stordimento,7.275 mo,Manuale di Gioco
97-98,Simbolo di Debolezza,7.275 mo,Manuale di Gioco
99-100,Simulacro,8.775 mo,Manuale di Gioco
