d%,Oggetto,Prezzo,Fonte
01-06,Dominare Mostri,3.825 mo,Manuale di Gioco
07-11,Risucchio di Energia,3.825 mo,Manuale di Gioco
12-16,LibertÃ,3.825 mo,Manuale di Gioco
17-23,Portale,3.825 mo,Manuale di Gioco
24-28,Blocca Mostri di Massa,3.825 mo,Manuale di Gioco
29-33,Imprigionare,3.825 mo,Manuale di Gioco
34-39,Disgiunzione Arcana,3.825 mo,Manuale di Gioco
40-47,Sciame di Meteore,3.825 mo,Manuale di Gioco
48-55,"Parola del Potere, Uccidere",3.825 mo,Manuale di Gioco
56-61,Sfera Prismatica,3.825 mo,Manuale di Gioco
62-66,Trasformazione,3.825 mo,Manuale di Gioco
67-71,Evoca Mostri IX,3.825 mo,Manuale di Gioco
72-79,Fermare il Tempo,3.825 mo,Manuale di Gioco
80-85,Fatale,3.825 mo,Manuale di Gioco
86-90,Proiezione Astrale,4.825 mo,Manuale di Gioco
91-96,Cerchio di Teletrasporto,4.825 mo,Manuale di Gioco
97-100,Desiderio,28.825 mo,Manuale di Gioco
