d%,Oggetto,Prezzo,Fonte
01-02,Bolla d'Aria,25 mo,Guida al Combattimento
03-06,Allarme,25 mo,Manuale di Gioco
07-08,Animare Corde,25 mo,Manuale di Gioco
09-12,Carico della Formica,25 mo,Guida del Giocatore
13-15,Mimetizzazione,25 mo,Guida alle Razze
16-18,Rompere,25 mo,Guida del Giocatore
19-23,Spruzzo Colorato,25 mo,Manuale di Gioco
24-26,Comprensione dei Linguaggi,25 mo,Manuale di Gioco
27-30,Tocco Corrosivo,25 mo,Guida alla Magia
31-33,Individuazione delle Porte Segrete,25 mo,Manuale di Gioco
34-36,Individuazione dei Non Morti,25 mo,Manuale di Gioco
37-38,Cancellare,25 mo,Manuale di Gioco
39-40,Scoppio di Lampi,25 mo,Guida del Giocatore
41-43,Disco Fluttuante,25 mo,Manuale di Gioco
44-46,Blocca Porte,25 mo,Manuale di Gioco
47-48,Spinta Idraulica,25 mo,Guida del Giocatore
49-51,Pugnale di Ghiaccio,25 mo,Guida alla Magia
52-54,Illusione di Calma,25 mo,Guida al Combattimento
55-58,Saltare,25 mo,Manuale di Gioco
59-60,Aura Magica,25 mo,Manuale di Gioco
61-63,Colpo Riflesso,25 mo,Guida al Combattimento
64-66,Cavalcatura,25 mo,Manuale di Gioco
67-69,Raggio di Debilitazione,25 mo,Guida alla Magia
70-71,Ridurre Persone,25 mo,Manuale di Gioco
72-74,Ombra di un'Arma,25 mo,Guida alla Magia
75-77,Scudo Scossa,25 mo,Guida al Combattimento
78-80,Pugni di Pietra,25 mo,Guida del Giocatore
81-84,Tocco del Mare,25 mo,Guida del Giocatore
85-88,Servitore Inosservato,25 mo,Manuale di Gioco
89-91,Grazia Urbana,25 mo,Guida alle Razze
92-96,Svanire,25 mo,Guida del Giocatore
97-98,Ventriloquio,25 mo,Manuale di Gioco
99-100,Alterazione Vocale,25 mo,Guida alla Magia
